"Ref","Qnty","Value","Cmp name","Cmp Purchase","Footprint","Footprint Purchase","Description","Vendor"
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, ","36","0.1ÂµF","C","https://mou.sr/3L92t7l","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","Unpolarized capacitor",""
"J1, ","1","Bus_Header_IN","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","VGA_Out","DB15_Female_HighDensity","https://mou.sr/3U9t1cS","VGA:TE_1-1734530-1","","15-pin female D-SUB connector, High density (3 columns), Triple Row, Generic, VGA-connector",""
"J3, ","1","CPU_Address_Header_A","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","CPU_Address_Header_B","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","GALA_Header","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","Bus_Header_OUT","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","GALB_Header","Conn_02x20_Odd_Even","https://mou.sr/3do1bsG","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, Q3, ","3","2N3904","2N3904","https://mou.sr/3EEfRiQ","Package_TO_SOT_THT:TO-92_Inline","","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R3, R5, ","3","820","R_US","https://mou.sr/3Tg7WMC","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor, US symbol",""
"R2, R4, R6, ","3","2K","R_US","https://mou.sr/3T1dnzc","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor, US symbol",""
"R7, R8, R9, ","3","240","R_US","https://mou.sr/3CnlMpG","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor, US symbol",""
"R10, R11, R12, R13, R14, ","5","75","R_US","https://mou.sr/3z0pmW3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Resistor, US symbol",""
"U1, U2, U3, ","3","74AC163","74AC163","https://mou.sr/3Czc0lB","Package_DIP:DIP-16_W7.62mm_Socket","https://mou.sr/3xt2Q7o","Synchronous Presettable Binary Counter",""
"U4, U33, ","2","74AC08","74AC08","https://mou.sr/3SZD3MN","Package_DIP:DIP-14_W7.62mm_Socket","https://mou.sr/3fOMH5X","Quad And2",""
"U5, ","1","74AC10","74AC10","https://mou.sr/3yE15Vs","Package_DIP:DIP-14_W7.62mm_Socket","https://mou.sr/3fOMH5X","Triple 3-input NAND",""
"U6, ","1","74HC4040","4040","https://mou.sr/3EiHw8O","Package_DIP:DIP-16_W7.62mm_Socket","https://mou.sr/3xt2Q7o","Binary Counter 12 stages (Asynchronous)",""
"U7, ","1","74HC11","74HC11","https://mou.sr/3eoFsBH","Package_DIP:DIP-14_W7.62mm_Socket","https://mou.sr/3fOMH5X","Triple 3-input AND",""
"U8, U9, U21, U34, ","4","74HC74","74HC74","https://mou.sr/3efq4HB","Package_DIP:DIP-14_W7.62mm_Socket","https://mou.sr/3fOMH5X","Dual D Flip-flop, Set & Reset",""
"U10, U15, U18, U19, U25, ","5","74HC374","74HC374","https://mou.sr/3g9m9gg","Package_DIP:DIP-20_W7.62mm_Socket","https://mou.sr/3CS7miQ","8-bit Register, 3-state outputs",""
"U11, U12, U13, U14, U16, U17, U28, U29, ","8","74HC373","74HC373","https://mou.sr/3TnCxbf","Package_DIP:DIP-20_W7.62mm_Socket","https://mou.sr/3CS7miQ","8-bit Latch, 3-state outputs",""
